"","rRichness","cv","varrat","AvgPlotRich","Evenness","Jaccard","Turnover","Npatches","growrt","competition","env_var","disp","patch_het","autocorr","sp_mean_synchrony","jacc.tu","jacc.ne"
"1",0.0153988045360594,0.0298380457832802,0.59244067917821,26.836843379327,0.921174359266108,0.936666376663716,0.00197842041346361,81,0.105335975531489,0.23212144622812,0.10528174150968,0.0467408562079072,0.158974510850385,0.45183011284098,0.253637311777554,0.971586237304628,0.965080139359088
"5",0.192197286122625,0.169146823903564,0.479850005378152,6.22848583877996,0.897022199499947,0.93006993006993,0.00158195199861867,144,0.0754427541396581,0.621052875474561,0.268057861574926,0.0114240638213232,0.497816975344904,0.0840715967933647,0.778932286524549,1,0.93006993006993
"11",0.00344911297852474,0.0196219733262396,0.721458512829419,88.4640522875817,0.914126177713428,0.983612549103187,0.0126526353000106,36,0.242608757689595,0.0889388946234249,0.0944872810156085,0.0805687818443403,0.264068856136873,0.0759984843316488,0.0856414346572513,0.994183924410027,0.989428624693159
"12",0.582719959778783,0.253331881447945,2.34667559167657,24.0893246187364,0.880949791503805,0.993055555555556,0.0206798362413801,9,0.0740111890481785,0.234986870374996,0.320413540198933,0.0705261492868885,0.47588684305083,0.603805047750939,0.50691440016867,1,0.993055555555556
"13",0.0390767524958701,0.0623838405380123,0.356293747895098,32.9194240196078,0.889038401454372,0.94906849093096,0.00717387465558917,64,0.209197673597373,0.207714656135067,0.129494639288168,0.0394605288282037,0.14532653207425,0.620055605540983,0.22359211718866,0.977309152152511,0.971759338778449
"14",1,0.183265766340944,1.82208303008212,2,0.985381668270064,1,0,16,0.0717638320056722,0.236678986810148,0.231478502927348,0.0753616305300966,0.108206269447692,0.0230860005249269,0.88053431372549,1,1
"17",0.334619379803203,0.0837311054267657,1.10691487192915,34.9644607843137,0.862902885673109,0.959249852902716,0.010025663836392,64,0.239419015240856,0.106525070441421,0.282194448588416,0.0559880146291107,0.033347012125887,0.234840795455966,0.456226441540216,0.986254408276976,0.97299544462574
"19",0.179279788838612,0.106163382865605,1.23362621382155,38.469362745098,0.844885880656241,0.963273955829259,0.00426481131524536,16,0.182148769556079,0.0563971269875765,0.353714442730416,0.0587975537870079,0.419716070522554,0.0284555240068585,0.425255324059435,0.983602535360902,0.979671420468358
"20",1,0.0264580359022395,0.175361156138753,11,0.930600235042948,1,0,9,0.15555506007513,0.276720216090325,0.0908555633039214,0.0921087366063148,0.391759998397902,0.342464115936309,0.477278211984094,1,1
"23",1,0.0524479588085141,1.3533432811577,3,0.971220144169659,1,0,144,0.0601765120518394,0.312918866460677,0.189402893476654,0.0160421077627689,0.296979666221887,0.192991781746969,0.55874328489456,1,1
"27",0.680577307846215,0.240724723673733,2.7866341895854,76.0952380952381,0.871073442901638,0.9784097501877,0.0157197571355782,49,0.23789248126559,0.0516547863953747,0.30827303197002,0.092149909818545,0.441477811778896,0.270088430901524,0.51079675716963,0.989176764032576,0.989232986155125
"28",0.0295158371040724,0.137503150783732,3.70691838990836,37.9082352941176,0.922907038707701,1,0.00428163746892805,25,0.216432244109455,0.032412835105788,0.316094352409709,0.0780218174913898,0.41287162178196,0.20885592472041,0.382661975956841,1,1
"29",0.0199874308697838,1.04818570906817,1.63345715080779,2.83877995642702,0.803208953246736,1,0.0115555555555556,9,0.21020410064375,0.603615850734059,0.414094863040373,0.0412156676175073,0.284991970635019,0.673903928312939,0.923262946204123,1,1
"30",0.584484665661136,0.192240286093894,2.34468133483973,38.0305010893246,0.853245811756437,0.940402583627414,0.00616742499404798,9,0.0460902012418956,0.134835882810876,0.370779485348612,0.00806379828136414,0.189533545286395,0.576816468208563,0.658140715100468,0.966687652036866,0.973714931590548
"32",1,0.0798402678864076,0.725603988835805,11,0.839343135950479,1,0,16,0.0459347797441296,0.225866340450011,0.0914027771097608,0.0247132720891386,0.0286017213948071,0.250340052181855,0.509639380227615,1,1
"33",0.442645749971953,0.739218902393868,1.58639014171173,8.19607843137255,0.76865672196161,0.950870272977711,0.022311891681329,121,0.220929686794989,0.469610202766489,0.457454882957973,0.0689358104020357,0.458750253892504,0.291557841352187,0.661044663681805,0.998209366391185,0.952660906586526
"35",0.000181023406513602,0.0403300759589679,1.40397109048532,19.0307431614621,0.814988989786558,0.917704316282215,0.00239898114800455,81,0.211185973836109,0.261981620569713,0.0751949570723809,0.00671320366673172,0.103498016600497,0.293231170973741,0.203413493644255,0.95622611553771,0.961478200744505
"36",0.233085695816788,0.509064529294121,3.63169789311456,20.3965586234494,0.748946318240546,0.763532763504179,0.00486986064691828,49,0.0410151324467734,0.257767200353555,0.383409573731478,0.00250394628383219,0.345845279865898,0.115611621004064,0.547991865278728,0.836215858031262,0.927316905472917
"37",0.881813505469644,0.283577319725628,4.62469187526398,43.3343137254902,0.80013944801614,0.866290711420962,0.00924138367555054,100,0.0049671299639158,0.130851725873072,0.358696248673368,0.020201969682239,0.220710169058293,0.642915841250215,0.544362553859695,0.89685412131368,0.969436590107283
"38",0.342271130104463,0.172776147336654,4.52396230873038,33.7286371338659,0.840307758024532,0.932471555977475,0.0136388821544621,81,0.235369968868326,0.147758725855965,0.198395011352841,0.0726658560568467,0.0516254319809377,0.53188466525171,0.392328919051037,0.965634692999726,0.966836862977749
"41",0.205220881514999,0.44751371558484,1.47970940380514,14.2198015008473,0.839469181775657,0.973057371096587,0.0152449530082454,81,0.222810456820298,0.341655510070268,0.420709601079579,0.0995664105052129,0.160486973472871,0.467731854587328,0.469328072490664,1,0.973057371096587
"45",0.0292965359061616,0.0394214576589375,0.193393085846664,35.1448711716091,0.783725366512272,0.963811734203048,0.0129821361219461,121,0.00202318397350609,0.194904028961901,0.152182358002756,0.0519556307699531,0.282704782439396,0.440213186200708,0.170180164210073,0.985752559517578,0.97805917468547
"46",0.0103868778280543,0.233941102253084,1.7052787335577,15.1727941176471,0.871940266434633,0.959375,0.0015721789642813,16,0.122149998089299,0.322968478139956,0.225241338193882,0.00575889581814408,0.119465902913362,0.452204352768604,0.680050589283462,0.990625,0.96875
"47",0.30420060331825,0.452784194659837,1.46390533315017,10.5860566448802,0.896077494964117,1,0.0130904324759128,9,0.0710406649741344,0.535809145309031,0.364429966651369,0.0575000017648563,0.0435789014445618,0.287852131063119,0.598079747770165,1,1
"49",0.740235709668483,0.0355866822194019,0.321920532951305,7.93957583033213,0.792110651804839,1,0.000435374149659864,49,0.0955399062368087,0.543300423945766,0.0726476269192062,0.0111625945195556,0.144943426596001,0.296482856967486,0.461877760719672,1,1
"50",0.369999245852187,0.387736634059724,0.590182122109076,2.86274509803922,0.948561964210301,1,0.0035,16,0.133301478170324,0.599236909823958,0.338761199871078,0.0149501092731953,0.245269657461904,0.135066072223708,0.805292609351433,1,1
"51",1,0.0920288220607558,1.93301897554464,2,0.997118233034935,1,0,25,0.139733317890204,0.413581743487157,0.119337571191136,0.0807972998125479,0.109572746558115,0.174381709308363,0.922402111613876,1,1
"52",0.370645807184269,0.0237273354279054,0.180932670988695,10.9425381263617,0.866246038174574,1,0.00144319131161236,144,0.188892009202391,0.310686319135129,0.0669852956198156,0.0807352561270818,0.12677519058343,0.693420159746893,0.279531066978323,1,1
"54",0.266626249930171,1.03401940787504,1.12164213278246,3.96707818930041,0.597276189877138,0.990246913580247,0.00217127180090143,81,0.232891922874842,0.431030126055703,0.317550425929949,0.0584935320541263,0.348414993379265,0.612756878079381,0.876614131892073,1,0.990246913580247
"55",0.183510173300089,0.292036118099461,2.2143555526492,13.9771908763505,0.793962416597017,0.931997799119648,0.0155420037429415,49,0.0461347506497987,0.357211749942508,0.4825049725594,0.0996723766205832,0.0137344715185463,0.0141526706283912,0.426973355084561,0.990134942866035,0.941862856253613
"56",0.0777415206713849,0.104945196980249,3.44917838724609,95.0405773420479,0.871986707508964,0.929614953019101,0.00137864533455736,144,0.0646402562269941,0.0350203089765273,0.205699633562472,0.00513891200534999,0.117590577574447,0.168048643274233,0.574749383703368,0.947598983566595,0.982015969452506
"57",0.028558371040724,0.078441413202279,1.33559602741206,63.3709803921569,0.903980751495201,0.966291739273796,0.00972672951381236,25,0.0222571648773737,0.0966965265688486,0.126095829729456,0.0596706913085654,0.375747770420276,0.328348351700697,0.279042423105241,0.983567319696974,0.982724419576822
"60",0.493986928104575,0.0974030081877869,1.32437644794717,53.520697167756,0.932359707585665,1,0.011270017739915,9,0.122491561516654,0.147308261075523,0.262011623498984,0.0869759492110461,0.098140858579427,0.622752513794694,0.428616822347472,1,1
"61",0.460127601809955,0.447859044097542,9.07485968086042,53.9372549019608,0.799749402329167,0.955971467302112,0.012122648913592,25,0.172799525840674,0.0574745574267581,0.426171256939415,0.060685731517151,0.321598748094402,0.340064209245611,0.511082377113169,0.9780058869106,0.977965580391512
"63",0.919097501292071,0.0447848399486322,0.344812949578989,7.99891067538126,0.937217007940969,1,9.25925925925926e-05,144,0.0438926653005183,0.33251230395399,0.0831739603891037,0.0560562154045329,0.284566859947518,0.567020119924564,0.737000592419144,1,1
"66",0.141387886874312,0.0792625390385574,1.02867754299401,58.4985021786492,0.846204133461369,0.890288749370156,0.00171956612321048,144,0.0947814523824491,0.0796216468443163,0.108484528632835,0.00425207910593599,0.28475326905027,0.553299404389691,0.439876634835932,0.919720758074039,0.970567991296116
"67",0.12832094878475,0.250122004993193,2.90107088248115,21.1135620915033,0.8290730493016,0.818703542108847,0.00458754131582769,144,0.143283909477759,0.17502924031578,0.422972545411903,0.0119428855134174,0.396867429022677,0.684250543999951,0.630459499923193,0.877906494240217,0.94079704786863
"68",0.0433487453722748,0.0585888140480035,0.665777909976875,36.9670588235294,0.764012386938163,0.984305502694612,0.015458864263212,100,0.0183231830014847,0.181347227655351,0.194565242365934,0.0820782508933917,0.480967359733768,0.138783138070721,0.268587602050248,0.99722153059646,0.987083972098152
"70",0.00309480323597971,0.0358221076144349,1.45715691033936,39.5188235294118,0.878283409627487,0.987800841394922,0.00939772639897766,100,0.131884473084938,0.116605495044496,0.0624816538882442,0.0618407123954967,0.188243719749153,0.193303990003187,0.098503641070492,0.997959398678215,0.989841442716707
"71",0.379555369216003,0.16690461674213,6.70508272733427,79.2958877995643,0.88889624351505,0.907365005431334,0.00929602127201828,144,0.169346931390464,0.0559145731385797,0.442776083725039,0.0282607810338959,0.413136904011481,0.540827456046827,0.371015654936978,0.93118105499467,0.976183950436665
"74",0.231740388463078,0.229870472119635,1.07154526503152,21.5490196078431,0.834187939274629,0.990338718820862,0.0141192542556802,49,0.18305857660016,0.280237875762396,0.481229379854631,0.0701992891728878,0.186864048126154,0.277322629757691,0.590126931135025,0.999447278911565,0.990891439909297
"77",0.147371480643539,0.129996722379452,3.740599251741,36.265931372549,0.842817251315441,0.991854636591479,0.00392150583854108,64,0.158067537879106,0.0437144913012162,0.308806976594497,0.0522667582845315,0.0144559449981898,0.360395578842144,0.620776087529809,1,0.991854636591479
"79",0.090952380952381,0.0792031616749091,0.549423293862112,11.8796296296296,0.867569422344364,1,0.00161835748792271,36,0.119407897989731,0.205327164963819,0.423942186287604,0.0754372206516564,0.233816212858073,0.579579516663216,0.463618173765233,1,1
"80",0.852853141256502,0.232925071564248,3.70697790931819,75.0884353741497,0.87363177642221,0.960932990450828,0.0184441557577748,49,0.123781544854864,0.0790254446910694,0.259234133723658,0.0674749190686271,0.0955808194121346,0.522780198021792,0.48998679397908,0.977572668743052,0.983360321707777
"82",0.0602843137254902,0.169477168022527,0.264594626545299,5.28921568627451,0.827271620991193,0.923611111111111,0.00284090909090909,16,0.0477795066544786,0.448338568559848,0.255966317385901,0.00722449186723679,0.305838554748334,0.666675778047647,0.760267621920563,1,0.923611111111111
"88",0.00968174962292609,0.142509333802633,1.73271272419802,8.35539215686275,0.842698007912305,0.814465488215488,0.00263634730207873,16,0.0185845314990729,0.526759256492369,0.23548670115415,0.00479166752193123,0.483421587850899,0.444294468092266,0.289263125451709,0.935690235690236,0.878775252525253
"89",0.122898664879057,0.0779999308337447,1.64485534321369,41.0396998305495,0.880359894592049,0.946421061302014,0.0157368478115725,81,0.0531629733159207,0.155459039029665,0.14372528498061,0.0664576975163072,0.194416646612808,0.669999449397437,0.307989656341331,0.97266695001231,0.973754111289704
"90",0.670810601163542,0.516437863848584,1.31536574745046,4.49618736383442,0.913509631321216,1,0.01293430335097,36,0.0646827667951584,0.494403895922005,0.455242454155814,0.0647717023501173,0.280004261760041,0.315370703407098,0.843897349709114,1,1
"93",0.227679764213378,0.155740020909066,1.23870535590309,47.5350140056022,0.861717444834678,0.918182352214619,0.0128307197184964,49,0.247266393329483,0.142928161716554,0.247572880820371,0.0374782040249556,0.390180232352577,0.543383726093452,0.342231367630074,0.940363584179524,0.977818768035095
"94",0.877840791017262,0.198632322966782,0.402950335618326,2.98136044541273,0.763545965977129,1,0.000938271604938272,81,0.142579401668627,0.538344859960489,0.208072010765318,0.00951101535465568,0.421627592295408,0.5138132989523,0.8036899242128,1,1
"95",0.284382741441565,0.206093333796692,1.24923579823466,8.30010893246187,0.892449397087647,1,0.00823548190643779,144,0.139529264124576,0.473789275973104,0.47152128808666,0.0751546095358208,0.0269708861596882,0.169265461969189,0.551809199012936,1,1
"96",0.424338306969323,0.214139941385939,4.33068301859351,59.0993356020094,0.868514480311006,0.892820161683965,0.0100589327959949,121,0.0245531123364344,0.0989098171703517,0.458258311322425,0.0355572376400232,0.306791584822349,0.0190547790261917,0.422305470913175,0.923067129431945,0.96975303225202
"97",0.0198919054801408,0.0722068628085971,0.64357594194442,24.1316872427984,0.856411663655992,0.931688464319371,0.00668734074050753,81,0.207078339764848,0.267504113609903,0.21758371621836,0.0207075541140512,0.19092950259801,0.258128989487886,0.357599386029885,0.965408100642243,0.966280363677128
"100",-0.00444300797241974,0.00631010887802526,0.0319935411093889,19.6830065359477,0.850085834772028,1,0.00173130620499042,36,0.221259947866201,0.199931527138688,0.0530045687337406,0.0793384385993704,0.19412123109214,0.278036536357831,0.178910870475486,1,1
"101",0.629639992179208,0.305941056253922,3.02474542748272,32.5993706124425,0.865524421672177,0.918675614558807,0.0138369986879381,81,0.0131265965756029,0.145925570803229,0.385693492728751,0.0667357255006209,0.349461162928492,0.0679068593890406,0.608380454113014,0.955542579422566,0.963133035136241
"102",0.0280830793856004,0.15017562745548,0.517986765544539,8.67867146858744,0.882293913118278,0.988265306122449,0.00550451667075159,49,0.0357122867135331,0.622719006089028,0.478232442738954,0.0392590483184904,0.149738415260799,0.381972394476179,0.622866393565973,1,0.988265306122449
"104",0.0781317951210999,0.123576677029897,0.533371360541764,12.8701993193972,0.873215169352249,0.983175914994097,0.00574365338418518,121,0.23347483354155,0.302435884892475,0.238628135994077,0.0669524570461363,0.0700358127942309,0.69956051412737,0.591824827658744,0.999704840613932,0.983471074380165
