"","rRichness","cv","varrat","AvgPlotRich","Evenness","Jaccard","Turnover","Npatches","growrt","competition","env_var","disp","patch_het","autocorr","sp_mean_synchrony","jacc.tu","jacc.ne"
"1",0.390023932649983,0.33795940952868,1.97526489589324,6.90076030412165,0.966626027269098,1,0.00213500784929356,49,0.103057661501225,0.217681324807927,0.476424531184603,0.0296023280592635,0.484973433311097,0.257959179638419,0.774424605006838,1,1
"2",0.385940215829922,0.0879210366944945,0.27099020505078,11.9506740196078,0.817596849171861,0.997596153846154,0.00701806987825294,64,0.0193670245353132,0.439183482667431,0.156436809524894,0.0382615105481818,0.0612009158357978,0.569524612161331,0.690100796005186,1,0.997596153846154
"4",0.200751885369532,0.0520460844309998,2.18988720978105,67.3492647058823,0.879020435623013,0.978313731539759,0.00845208198350646,16,0.0462792567559518,0.0394975766539574,0.16020168812247,0.0841063591418788,0.408375093247741,0.729026455956046,0.293115083388709,0.992338105228516,0.985975626311243
"6",0.0563239199700389,0.114573965621626,1.9639169253576,19.7829520697168,0.87403638178077,0.824302407745924,0.00184570917836145,144,0.178174022003077,0.329200805397704,0.304356878669932,0.00187578846234828,0.0507753087440506,0.39255155925639,0.405175330377604,0.886539341886492,0.937763065859432
"7",0.207304075476344,0.225944240687766,2.12481573296874,30.2557022809124,0.821167710300298,0.790100595538193,0.00780540073450049,49,0.056320997828152,0.158112542703748,0.419390013127122,0.0148398488759995,0.38484411360696,0.0574446499231271,0.428337549009102,0.848973925620717,0.941126669917476
"8",0.0385828946963401,0.0351201993361779,0.203403631034257,32.249699879952,0.917018007596063,0.996645880574452,0.0162003070294575,49,0.0397498558158986,0.246157722896896,0.141951868415345,0.0864236014662311,0.144646136439405,0.331415671273135,0.293285255260259,0.999905517762661,0.996740362811791
"9",0.694442648854414,0.147817572939161,1.13938012979418,7.98192401960784,0.967738050855038,1,0.000458333333333333,64,0.142195219756104,0.234746364178136,0.115326147817541,0.049192212941125,0.329711336176842,0.485016080376226,0.718244690496087,1,1
"10",0.380497207367796,0.0869312407779543,2.14019748395457,78.0033333333333,0.892506870163887,0.954862660725853,0.00776821384453536,100,0.099934448779095,0.0414410998346284,0.266463311470579,0.0549078483833,0.0438440851867199,0.259495171776507,0.398794757865345,0.968663632844627,0.986199027881226
"12",0.151835932295755,0.293524066357477,0.72859911839496,10.9578431372549,0.895424575148152,0.958063973063973,0.00474404461902645,100,0.136590176902246,0.292655100231059,0.362358679249883,0.0990542030194774,0.0631048700306565,0.480824429425411,0.721759616688212,1,0.958063973063973
"13",0.116580940068335,0.236333318656206,1.2059897117381,17.6674669867947,0.803221640305386,0.877543167184653,0.00826994793418488,49,0.175116560538299,0.229476030915976,0.367057742644101,0.0209807597333565,0.408457690500654,0.375629494024906,0.426083023071548,0.935602687532065,0.941940479652588
