"","patch_het","a","species","patches","r_temp","beta_temp","sigma_env_temp","disp_temp"
"1",0.300549564301036,0.616936421021819,48,64,0.239903575042263,0.0543678367976099,0.44857026351383,0.0463320114649832
"2",0.00211141887120903,0.517884536529891,111,36,0.029482846672181,0.164599432726391,0.0537660938687623,0.164912337251008
"4",0.0965446291957051,0.0760140090133063,120,9,0.113375021144748,0.163159536896273,0.219069444492925,0.152693161880597
"6",0.220828905934468,0.447451434738468,103,36,0.217248462722637,0.300564860692248,0.316726040083449,0.171332368208095
"7",0.314506617956795,0.679798790195491,106,121,0.236873600981198,0.169359318679199,0.0946198701509275,0.126369092892855
"8",0.4352499214001,0.260147433669772,69,49,0.155977551825345,0.165727245854214,0.0798896696302109,0.0444625307805836
"9",0.226262002601288,0.417327082541306,130,36,0.112263743649237,0.0407096483977512,0.328891460062005,0.181736961752176
"10",0.268294162466191,0.244108583196066,80,100,0.138386539591011,0.260669056791812,0.332191770209465,0.190930675389245
"11",0.041978053515777,0.700594416470267,44,25,0.204822035564575,0.287751640658826,0.227512722159736,0.0622198688331991
"12",0.223253914737143,0.0628854085807689,92,144,0.146685171173885,0.222156282397918,0.375758208113257,0.0172717407345772
"14",0.237308493466116,0.184682955848984,52,121,0.173691182339098,0.40300428122282,0.153609510394745,0.0108398851007223
"15",0.124100669287145,0.493582173949108,76,121,0.127809784666169,0.0360023999819532,0.459122040774673,0.185796508798376
"16",0.431883703335188,0.0666641182615422,32,81,0.123325347143691,0.124102171859704,0.172048417350743,0.17219814369455
"17",0.0202342700213194,0.396329287730623,113,49,0.202731290948577,0.145446015638299,0.336005742661655,0.066629472700879
"18",0.356185190845281,0.712973048735876,121,25,0.245585902826861,0.0112136863172054,0.444603231328074,0.178777780011296
"19",0.276296349707991,0.0845650794217363,83,16,0.124914056854323,0.095801969524473,0.0950662171817385,0.0148562584538013
"20",0.159531307639554,0.620694905344862,94,100,0.18603867397178,0.246239514905028,0.147329769993667,0.188822133466601
"21",0.124942615278997,0.356752785213757,43,81,0.155308595916722,0.173206552746706,0.2229657886317,0.081437110202387
"22",0.440062444424257,0.237573010381311,88,25,0.208083628444001,0.161592662334442,0.227896594989579,0.192769087804481
"23",0.489343106746674,0.743656290520448,128,49,0.249757912068162,0.0485263534355909,0.397378577583004,0.0683536468073726
"24",0.0961753781884909,0.120223280391656,65,9,0.0602817153558135,0.169715150608681,0.302035372809041,0.00766500802710652
"25",0.136178097687662,0.0582014776300639,83,49,0.0597412902279757,0.0645708879455924,0.463263047428336,0.175816912576556
"26",0.188636501668952,0.263811857672408,33,9,0.0133050089352764,0.325720023014583,0.169220547412988,0.107442733738571
"27",0.173144406988285,0.274164163449313,49,144,0.0202563619241118,0.3924188867677,0.366227585857268,0.145572855928913
"30",0.169707305380143,0.490884716855362,74,49,0.16902000666596,0.225163626833819,0.42451307582669,0.0938418640755117
"31",0.260012489277869,0.69472884235438,50,25,0.146973120979965,0.439095380017534,0.34277639038628,0.0802870760671794
"32",0.135385514353402,0.435028327920008,85,16,0.123424717632588,0.179469598457217,0.245489626575727,0.0472843738738447
"33",0.0715580940013751,0.673703203909099,119,100,0.130322041164618,0.191879495163448,0.143306293024216,0.00828497740440071
"34",0.19566691305954,0.258175155264325,56,100,0.240574983647093,0.149919638410211,0.452823965274729,0.0875711964908987
"35",0.402670646551996,0.140038806712255,86,36,0.146721983270254,0.210174257284962,0.403499590721913,0.127799526788294
"36",0.38348842470441,0.660084791423287,36,49,0.221374884771649,0.0328209867002442,0.0557421449339017,0.199205657141283
"37",0.145665506832302,0.559860116627533,73,121,0.0540907412068918,0.159818820073269,0.321888203732669,0.106285598594695
"38",0.215216634678654,0.446921207767446,124,144,0.115922915225383,0.150565249961801,0.0860339775448665,0.0280806122813374
"40",0.240674086962827,0.448975878709462,49,64,0.245357921812683,0.481079563498497,0.139404027385171,0.0983488022815436
"42",0.0910946787334979,0.301652088237461,92,16,0.189328576379921,0.0118243430042639,0.369852659548633,0.04023796916008
"44",0.298948669689707,0.740965254139155,48,81,0.0713815888157114,0.449722987948917,0.342868030047976,0.177160345669836
"46",0.343210520455614,0.000315189419779927,46,121,0.144973385438789,0.204595739371143,0.48951906071743,0.0689663541968912
"47",0.254253180231899,0.589670117071364,45,100,0.181683468224946,0.0555976610630751,0.185931505437475,0.0292933200951666
"48",0.0277399786282331,0.393851949716918,41,9,0.210611257818528,0.275851220474578,0.394158824963961,0.160413198312745
"49",0.213741721585393,0.660676634288393,85,100,0.221878729527816,0.20537612750195,0.284380190668162,0.169362629996613
"50",0.286461420357227,0.376971121528186,73,25,0.0239426082116552,0.050672854646109,0.332296752498951,0.12640971490182
"52",0.482532699592412,0.682433572481386,121,144,0.237867759075016,0.114119402016513,0.489457377139479,0.0165213419124484
"54",0.242555765900761,0.161613353469875,39,64,0.182858390267938,0.387364516383968,0.097876760258805,0.0101668604649603
"55",0.37692475609947,0.629652842588257,63,144,0.248496361891739,0.392445634235628,0.459092573879752,0.0639783465769142
"56",0.0963904462987557,0.142150165338535,117,144,0.159817355510313,0.20227738795802,0.478113871079404,0.183976687630638
"57",0.0868456955067813,0.412799456622452,37,36,0.0455498014925979,0.0883474765578285,0.266782164829783,0.115414053108543
"58",0.428108414169401,0.115349216794129,101,121,0.0296715288423002,0.174909128574654,0.475397206889465,0.108767742849886
"59",0.441880592610687,0.447213898762129,42,121,0.085345798637718,0.0205803649732843,0.293312835902907,0.0640146163292229
"61",0.239062216482125,0.549346462357789,111,121,0.120331557351165,0.254404192091897,0.227964106504805,0.172747791418806
"62",0.109955468797125,0.541637154354248,51,16,0.0957688108901493,0.0486916186055169,0.110126817028504,0.185749370465055
"63",0.413398070959374,0.37374088272918,52,9,0.075869727996178,0.011824369081296,0.335783200198784,0.00357726197689772
"65",0.163586430135183,0.057921092316974,85,49,5.34032005816698e-06,0.0695517767453566,0.141687646729406,0.057594527490437
"66",0.202586710103787,0.297008671215735,102,64,0.158699749503285,0.179935818188824,0.371089671715163,0.198931576265022
"67",0.0782261185813695,0.242579131212551,73,100,0.175294782675337,0.374433227349073,0.346069069334771,0.128667784621939
"68",0.354403661913238,0.69778382970253,76,16,0.0143472963245586,0.196882312186062,0.441017692978494,0.0719252630602568
"69",0.166270223329775,0.588827088475227,97,36,0.0724422209314071,0.143611016916111,0.143736873590387,0.140855848789215
"70",0.475546728936024,0.278756751387846,95,64,0.135409987706225,0.2710102138808,0.476933449017815,0.0156441727187485
"71",0.413651695358567,0.298660454107448,101,9,0.0374828628264368,0.118131633615121,0.345568457234185,0.00101722432300448
