,patch_het,a,species,patches,r_temp,beta_temp,sigma_env_temp,disp_temp
1,0.292828301,0.403030552,96,42,0.176143311,0.000729824,0.319178615,0.015053972
2,0.354730046,0.298620738,37,24,0.159844456,0.02371828,0.057876402,0.059487926
3,0.018867272,0.183213576,79,80,0.222173931,0.03187933,0.423653702,0.236233243
4,0.234092915,0.520875384,84,39,0.21915923,0.01727452,0.492192965,0.365688924
5,0.268814674,0.222699484,73,85,0.006600015,0.041625029,0.157979915,0.146210744
6,0.207943131,0.007685799,33,79,0.222313997,0.026280681,0.150002447,0.048021289
7,0.320349429,0.373613564,118,89,0.176005107,0.000397079,0.490932859,0.370967838
8,0.382384353,0.686504485,111,80,0.034570846,0.000716733,0.073527792,0.496925545
9,0.431835555,0.732864896,34,85,0.166677642,0.00427603,0.412098338,0.205534275
10,0.447322953,0.69491369,45,43,0.221531476,0.014664904,0.161056315,0.426419986
11,0.109393553,0.270033835,91,10,0.194987522,0.026253635,0.05947673,0.478012236
12,0.455955264,0.618210425,46,57,0.098818664,0.007394267,0.164455822,0.013936253
13,0.207887854,0.082946365,122,61,0.014801425,0.012034486,0.400018903,0.132389567
14,0.021558141,0.504113009,40,19,0.182086093,0.013214394,0.08685049,0.499163284
15,0.490693527,0.478519391,52,77,0.009547865,0.041343736,0.140926893,0.445705186
16,0.250748284,0.430166786,103,64,0.189282984,0.014701927,0.326268026,0.281691325
17,0.021891354,0.63625367,54,42,0.080858316,0.026972021,0.201305637,0.063405964
18,0.084291139,0.35754643,35,67,0.00200761,0.036335603,0.079086441,0.047762349
19,0.195248086,0.074095621,85,40,0.153759783,0.008058235,0.064802098,0.23610005
20,0.405624841,0.414363377,74,78,0.195885204,0.00152822,0.415814973,0.290007644
21,0.20365021,0.034179747,126,16,0.014732294,0.040826748,0.450322588,0.304223594
22,0.149904379,0.723508613,44,87,0.146136571,0.023223594,0.283153412,0.487968201
23,0.284651948,0.338242036,93,49,0.233448624,0.010235889,0.261464886,0.019798896
24,0.489297189,0.484047915,85,43,0.215645035,0.04982205,0.254804543,0.436898668
25,0.010283007,0.216147634,32,69,0.123215874,0.036510895,0.335753496,0.294762408
26,0.313943089,0.047315977,84,59,0.005051078,0.009473471,0.274882475,0.296524724
27,0.114212667,0.229532534,42,69,0.248798515,0.015899377,0.458772425,0.242218036
28,0.386563146,0.44962885,66,16,0.181799515,0.02736064,0.389516925,0.289370475
29,0.322287779,0.187345571,51,74,0.123499079,0.025853077,0.241286926,0.472852413
30,0.359877139,0.46947198,63,25,0.178382063,0.038355401,0.401277961,0.228154021
31,0.015466061,0.429696456,54,19,0.19075487,0.005827615,0.173313242,0.415474991
32,0.051417106,0.04999984,120,89,0.127858748,0.018307956,0.489876895,0.316940005
33,0.362893125,0.734674821,56,63,0.220397125,0.00762749,0.300598849,0.166539046
34,0.458142378,0.12263407,33,32,0.101170776,0.009533765,0.280125969,0.106674536
35,0.391745712,0.527311902,92,41,0.24198943,0.045077705,0.386094733,0.464752944
36,0.480779036,0.642132515,90,35,0.115534386,0.044227961,0.295520221,0.042300914
37,0.365481842,0.674967758,70,43,0.027994522,0.005487272,0.101579579,0.4862104
38,0.381155346,0.383323722,31,49,0.055487815,0.0293806,0.14238563,0.006478458
39,0.35461486,0.716293266,36,82,0.095773065,0.049166126,0.301360669,0.102140552
40,0.02017673,0.02283571,115,49,0.121871866,0.03372547,0.256597391,0.211613105
41,0.356823468,0.00611136,120,88,0.194207216,0.045223449,0.427199069,0.319214988
42,0.466930835,0.261411644,65,39,0.120147121,0.016882857,0.340017876,0.046040975
43,0.194015248,0.344582385,121,19,0.051218288,0.042207853,0.425699917,0.443711578
44,0.016903049,0.018848611,38,86,0.161819631,0.038565728,0.26241867,0.238913677
45,0.230202695,0.036763203,70,21,0.036760781,0.021705458,0.422891436,0.139483889
46,0.45818037,0.061724363,109,52,0.012363366,0.028957724,0.100485543,0.12486131
47,0.31367027,0.364693015,47,11,0.017384062,0.009837043,0.262708022,0.475210821
48,0.152072649,0.549831347,36,29,0.056048193,0.035797299,0.153272402,0.174569505
49,0.262401114,0.65614064,31,39,0.244391207,0.046070301,0.185945168,0.456112616
50,0.104778433,0.097790008,122,51,0.092563836,0.020810134,0.213993423,0.232329287
51,0.299898252,0.334048043,32,49,0.175182797,0.046446855,0.458934898,0.131861953
52,0.046682177,0.031212931,117,63,0.152705092,0.041192209,0.239760029,0.233878284
53,0.178412777,0.373273053,51,44,0.12660773,0.017144944,0.058958413,0.10994402
54,0.102408949,0.527909791,47,61,0.182653807,0.03133925,0.084846737,0.040468266
55,0.084837016,0.290209512,118,12,0.100370384,0.015525069,0.141434077,0.123195513
56,0.049102295,0.304231123,87,12,0.108905177,0.004899128,0.379338977,0.228255484
57,0.041262778,0.374472119,82,15,0.133855374,0.036471808,0.377213923,0.434680691
58,0.215793636,0.710683129,118,43,0.048620224,0.040679608,0.301536663,0.289508204
59,0.289312013,0.066309451,42,53,0.029059436,0.029452142,0.074571457,0.02916945
60,0.408146038,0.181604098,52,26,0.193892749,0.0327183,0.173053697,0.466613835
61,0.441443009,0.521157264,57,79,0.170128388,0.019660117,0.446233438,0.265307705
62,0.245347404,0.29240667,115,50,0.036860668,0.042340258,0.109572149,0.354371933
63,0.18480634,0.371223182,98,21,0.234909089,0.044158403,0.480876807,0.206118474
64,0.387215747,0.135697651,49,37,0.222033241,0.019608578,0.095363986,0.446960119
65,0.234002715,0.347343748,54,41,0.11345768,0.025242691,0.289463986,0.008156118
66,0.393255651,0.332143407,104,88,0.139532157,0.000266708,0.320127802,0.180213291
67,0.053479851,0.278434479,105,36,0.08139966,0.048131524,0.136966821,0.275274533
68,0.365338795,0.279368774,72,71,0.119469013,0.039901421,0.062758091,0.131054943
69,0.338816568,0.449783449,91,38,0.007811765,0.034212258,0.415715445,0.178520852
70,0.025998153,0.048037629,55,85,0.128827433,0.03352542,0.373800147,0.219394657
